#cachesize,recordcount,fieldcount,fieldlength,operationcount,threads,binding,workload,integrity,distribution,readonly,preload,memory,oop,filesystem,heapsize,hinitoccper,n_run,operation,value
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,load,50161778687
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,used_mem_mb_min,48
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,used_mem_mb_max,6232
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,main_gc_count,43
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,main_gc_time_ms,10092
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,transaction,62274666495
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,load_gc_time_ms,3100
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,read_ops,5000289
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,read_lat,2153.6408051614617
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,init,1713569791
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,load_gc_count,69
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,cleanup,6296575
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,insert_ops,1000000
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,insert_lat,40449.224664
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,update_ops,4999711
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,update_lat,7167.818049083237
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,runtime,113771
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,throughput,96685.4470822969
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,total_gc_time_%,11.818477467896036
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,load,50139234303
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,used_mem_mb_min,48
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,used_mem_mb_max,5670
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,main_gc_count,43
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,main_gc_time_ms,10041
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,transaction,61813030911
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,load_gc_time_ms,3386
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,read_ops,4999114
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,read_lat,2244.4194553274842
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,init,1750188031
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,load_gc_count,75
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,cleanup,6378079
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,insert_ops,1000000
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,insert_lat,40473.66767
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,update_ops,5000886
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r6,update_lat,6965.711244767427
1,1000000,10,100,10000000,1,infinispan-autopersist,workloadb_run,true,default,false,true,default,default,none,20GB,40,r1,runtime,79424
1,1000000,10,100,10000000,1,infinispan-autopersist,workloadb_run,true,default,false,true,default,default,none,20GB,40,r1,throughput,138497.17969379533
1,1000000,10,100,10000000,1,infinispan-autopersist,workloadb_run,true,default,false,true,default,default,none,20GB,40,r1,total_gc_time_%,5.372431506849315
1,1000000,10,100,10000000,1,infinispan-autopersist,workloadb_run,true,default,false,true,default,default,none,20GB,40,r1,load,51123322879
