#cachesize,recordcount,fieldcount,operationcount,threads,binding,workload,integrity,distribution,operation,value
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,init,1.713123328E9
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,load,37286838271
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,cleanup,6763376.0
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,insert,20177.315373
1,1000000,10,10000000,1,infinispan-jpfa,workloada_run,true,default,runtime,61058
1,1000000,10,10000000,1,infinispan-jpfa,workloada_run,true,default,throughput,163778.70221756364
1,1000000,10,10000000,1,infinispan-jpfa,workloada_run,true,default,total_gc_time_%,19.863081004946118
1,1000000,10,10000000,1,infinispan-jpfa,workloada_run,true,default,read,2482.9689258144185
1,1000000,10,10000000,1,infinispan-jpfa,workloada_run,true,default,init,6.861570048E9
1,1000000,10,10000000,1,infinispan-jpfa,workloada_run,true,default,cleanup,7226288.0
1,1000000,10,10000000,1,infinispan-jpfa,workloada_run,true,default,update,4504.304747540501
1,1000000,10,10000000,1,infinispan-jpfa,workloada_run,true,default,transaction,54134046719
1,1000000,10,10000000,1,infinispan-jpfa,workloadb_run,true,default,runtime,33423
1,1000000,10,10000000,1,infinispan-jpfa,workloadb_run,true,default,throughput,299195.1650061335
1,1000000,10,10000000,1,infinispan-jpfa,workloadb_run,true,default,total_gc_time_%,12.063549053047302
1,1000000,10,10000000,1,infinispan-jpfa,workloadb_run,true,default,read,1702.1502078939154
1,1000000,10,10000000,1,infinispan-jpfa,workloadb_run,true,default,init,6.644809728E9
1,1000000,10,10000000,1,infinispan-jpfa,workloadb_run,true,default,cleanup,8203344.0
1,1000000,10,10000000,1,infinispan-jpfa,workloadb_run,true,default,update,5530.85507567368
1,1000000,10,10000000,1,infinispan-jpfa,workloadb_run,true,default,transaction,26721386495
1,1000000,10,10000000,1,infinispan-jpfa,workloadc_run,true,default,runtime,28424
1,1000000,10,10000000,1,infinispan-jpfa,workloadc_run,true,default,throughput,351815.3672952434
1,1000000,10,10000000,1,infinispan-jpfa,workloadc_run,true,default,total_gc_time_%,9.062763861525472
1,1000000,10,10000000,1,infinispan-jpfa,workloadc_run,true,default,read,1517.5245937
1,1000000,10,10000000,1,infinispan-jpfa,workloadc_run,true,default,init,6.855999488E9
1,1000000,10,10000000,1,infinispan-jpfa,workloadc_run,true,default,cleanup,7529968.0
1,1000000,10,10000000,1,infinispan-jpfa,workloadc_run,true,default,transaction,21508784127
1,1000000,10,10000000,1,infinispan-jpfa,workloadd_run,true,default,runtime,40910
1,1000000,10,10000000,1,infinispan-jpfa,workloadd_run,true,default,throughput,244439.01246638963
1,1000000,10,10000000,1,infinispan-jpfa,workloadd_run,true,default,total_gc_time_%,4.395013444145686
1,1000000,10,10000000,1,infinispan-jpfa,workloadd_run,true,default,read,1676.7455326687104
1,1000000,10,10000000,1,infinispan-jpfa,workloadd_run,true,default,init,1.532530688E9
1,1000000,10,10000000,1,infinispan-jpfa,workloadd_run,true,default,cleanup,7495440.0
1,1000000,10,10000000,1,infinispan-jpfa,workloadd_run,true,default,insert,19054.627598944062
1,1000000,10,10000000,1,infinispan-jpfa,workloadd_run,true,default,transaction,39320289279
1,1000000,10,10000000,1,infinispan-jpfa,workloadf_run,true,default,runtime,65145
1,1000000,10,10000000,1,infinispan-jpfa,workloadf_run,true,default,throughput,153503.7224652698
1,1000000,10,10000000,1,infinispan-jpfa,workloadf_run,true,default,total_gc_time_%,21.766827845575254
1,1000000,10,10000000,1,infinispan-jpfa,workloadf_run,true,default,read,2306.8245752
1,1000000,10,10000000,1,infinispan-jpfa,workloadf_run,true,default,init,6.640648192E9
1,1000000,10,10000000,1,infinispan-jpfa,workloadf_run,true,default,cleanup,7806960.0
1,1000000,10,10000000,1,infinispan-jpfa,workloadf_run,true,default,update,3113.934337022963
1,1000000,10,10000000,1,infinispan-jpfa,workloadf_run,true,default,transaction,58438451199
300000,3000000,10,10000000,1,infinispan,workloada_load,true,default,runtime,215975
300000,3000000,10,10000000,1,infinispan,workloada_load,true,default,throughput,13890.496585252922
300000,3000000,10,10000000,1,infinispan,workloada_load,true,default,total_gc_time_%,3.9129528880657483
300000,3000000,10,10000000,1,infinispan,workloada_load,true,default,init,6.85053952E8
300000,3000000,10,10000000,1,infinispan,workloada_load,true,default,load,214769336319
300000,3000000,10,10000000,1,infinispan,workloada_load,true,default,cleanup,4.5486592E8
300000,3000000,10,10000000,1,infinispan,workloada_load,true,default,insert,61294.69747233333
300000,3000000,10,10000000,1,infinispan-pcj,workloada_load,true,default,runtime,1775261
