#cachesize,recordcount,fieldcount,operationcount,threads,binding,workload,integrity,distribution,operation,value
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,load,23390846975
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,7175728.0
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,6506.151995
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,26098
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,38317.112422407845
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,8.272664571997854
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.625182208E9
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,load,24401936383
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,9671328.0
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,6961.960126
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,26434
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,37830.06733751986
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,7.195278807596278
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.688154112E9
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,load,24688328703
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,7024720.0
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,6711.497649
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,25435
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,39315.90328287792
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,7.116178494200905
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.651707904E9
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,load,23713021951
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,9904736.0
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,6487.339574
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,26193
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,38178.13919749551
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,6.990417287061429
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.6991232E9
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,load,24421335039
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6558768.0
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,6775.31358
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,26247
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,38099.59233436202
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,7.223682706595039
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.665667072E9
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,load,24523833343
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6820048.0
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,6813.993241
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,26559
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,37652.02003087466
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,7.74125531834783
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.690513408E9
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,load,24479268863
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,3.09931008E8
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,7003.39428
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,26239
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,38111.20850642174
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,6.875262014558483
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.678864384E9
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,load,24504303615
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,5901840.0
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,6623.678167
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,25657
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,38975.7181276065
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,7.420976731496277
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.68364032E9
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,load,23904124927
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,8519008.0
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,6648.026548
1,1000000,10,1000000,12,infinispan-jnvm,insertw_run,true,zipfian,runtime,16327
1,1000000,10,1000000,12,infinispan-jnvm,insertw_run,true,zipfian,throughput,61248.2391131255
1,1000000,10,1000000,12,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,11.043057512096526
1,1000000,10,1000000,12,infinispan-jnvm,insertw_run,true,zipfian,init,1.6217832106666667E9
1,1000000,10,1000000,12,infinispan-jnvm,insertw_run,true,zipfian,cleanup,6.426664E7
1,1000000,10,1000000,12,infinispan-jnvm,insertw_run,true,zipfian,insert,64594.786575
1,1000000,10,1000000,12,infinispan-jnvm,insertw_run,true,zipfian,transaction,14589951999
1,1000000,10,1000000,16,infinispan-jnvm,insertw_run,true,zipfian,runtime,16886
1,1000000,10,1000000,16,infinispan-jnvm,insertw_run,true,zipfian,throughput,59220.65616487031
1,1000000,10,1000000,16,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,10.03197915432903
1,1000000,10,1000000,16,infinispan-jnvm,insertw_run,true,zipfian,init,1.645081088E9
1,1000000,10,1000000,16,infinispan-jnvm,insertw_run,true,zipfian,cleanup,7.4599467E7
1,1000000,10,1000000,16,infinispan-jnvm,insertw_run,true,zipfian,insert,87299.237633
1,1000000,10,1000000,16,infinispan-jnvm,insertw_run,true,zipfian,transaction,15089401855
1,1000000,10,1000000,1,infinispan-jnvm,insertw_run,true,zipfian,runtime,25517
1,1000000,10,1000000,1,infinispan-jnvm,insertw_run,true,zipfian,throughput,39189.55990124231
1,1000000,10,1000000,1,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,7.46561116118666
1,1000000,10,1000000,1,infinispan-jnvm,insertw_run,true,zipfian,init,1.655533568E9
1,1000000,10,1000000,1,infinispan-jnvm,insertw_run,true,zipfian,cleanup,1.0728736E7
1,1000000,10,1000000,1,infinispan-jnvm,insertw_run,true,zipfian,insert,6472.768883
1,1000000,10,1000000,1,infinispan-jnvm,insertw_run,true,zipfian,transaction,23789830143
1,1000000,10,1000000,20,infinispan-jnvm,insertw_run,true,zipfian,runtime,17312
1,1000000,10,1000000,20,infinispan-jnvm,insertw_run,true,zipfian,throughput,57763.401109057304
1,1000000,10,1000000,20,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,9.658040665434381
